카테고리,항목,내용
연락처,고객센터 전화,080-393-1111 (수신자부담)
연락처,이메일,contact_kr@sf-express.com
연락처,운영시간,월~금 09:00~18:30 / 토 09:00~12:30
연락처,주소,서울특별시 영등포구 국회대로 68길 17 해운빌딩 3층
조회 링크,운송장 조회,https://www.sf-international.com/kr/ko/support/querySupport/waybill
조회 링크,발송 가능 품목 조회,https://www.sf-international.com/kr/ko/support/querySupport/receiving_standard
조회 링크,서비스 센터 찾기,https://www.sf-international.com/kr/ko/support/querySupport/dept
조회 링크,발송 요청 플랫폼,https://icas.sf.global/
조회 링크,서비스 문의,https://www.sf-international.com/kr/ko/cooperation
조회 링크,ERP 시스템,https://epesos-web.sf-express.com
서비스센터,서울,강서 / 강남 / 강북 / 대림
서비스센터,경기·인천,인천 / 수원 / 안산
서비스센터,지방,대구 / 부산
