"구분","항목","내용"
"배달 SLA","약정 배달 기간","SF Express는 배달 SLA(서비스 수준 약정)를 보장하지 않음. 리드타임은 참고 기준"
"배달 SLA","SLA 초과 보상","SLA 미보장 서비스로 배달 지연에 따른 별도 보상 규정 없음"
"배달 지연","주요 원인","통관 지연 / 세금 미납 / 수취인 연락불가 / 공휴일·기상·항공 상황"
"수취 거부","조치 옵션","반송(회송) 또는 폐기 중 선택. SF Express 및 ICS와 협의 후 결정"
"수취 거부","통보 대상","ICS 또는 실 발송자에게 통보"
"수취 거부","반송 비용","왕복 운임 전액 발송자 부담"
"수취 거부","통관비","발생 시 발송자 부담"
"수취 거부","창고료","상황에 따라 발생 시 발송자 부담"
"수취 거부","폐기비","폐기 선택 시 발생 비용 발송자 부담"
"수취 거부","비용 총 부담","왕복 운임 + 통관비 + 창고료(조건부) + 폐기비(조건부) 전액 발송자 부담"
"배달 완료 확인","추적 방법","SF Express 운송장 번호로 홈페이지 또는 고객센터(080-393-1111) 확인"
"배달 완료 확인","클레임 기산일","배송완료 후 5영업일 이내 클레임 신고 필수"
