질문,답변,카테고리
SF Express 홍콩·싱가포르 배송은 며칠 걸리나요?,정상 통관 기준 D+1~3 영업일입니다. 확장지역 +1일 특수지역 +2~3일 추가됩니다. SLA 보장 상품이 아니며 통관 지연·세금 미납·수취인 연락불가 시 지연될 수 있습니다.,리드타임
홍콩·싱가포르 출발은 언제 하나요?,월~금 매일 출발합니다(항공 스페이스 정상 기준). 공휴일·기상·항공 상황에 따라 변동될 수 있습니다.,스케줄
배터리가 들어간 제품을 보낼 수 있나요?,MSDS(물질안전보건자료) 제출 및 사전 승인이 있으면 발송 가능합니다. 리튬배터리 단품은 DG(위험물) 포장 기준 준수 및 사전 승인이 필수입니다. 미승인 시 발송 불가입니다.,제한품목
향수나 알코올 성분 화장품을 보낼 수 있나요?,MSDS 제출 + 사전 승인이 있어야 발송 가능합니다. 미승인 발송 시 운송 거부 또는 압수 처리될 수 있습니다.,제한품목
싱가포르에 껌을 보낼 수 있나요?,불가합니다. 싱가포르는 껌 수입·판매가 금지되어 있습니다(치료용 니코틴껌 예외). 적발 시 압수 및 벌금이 부과됩니다.,제한품목
싱가포르에 전자담배(IQOS 포함)를 보낼 수 있나요?,"불가합니다. 싱가포르는 전자담배·가열담배·베이핑 제품 수입이 전면 금지입니다. 적발 시 최대 SGD 10,000 벌금 또는 6개월 징역이 부과됩니다.",제한품목
홍콩에 주류를 보낼 수 있나요?,가능하지만 신고가 필수입니다. 알코올 30% 초과 주류는 100% 관세가 부과됩니다. 홍콩 4대 과세 품목에 해당하므로 인보이스에 정확히 기재해야 합니다.,통관
싱가포르 통관 시 세금이 붙나요?,물품 가격이 SGD 400을 초과하면 GST 9%가 부과됩니다. 수취인이 납부 주체이므로 발송 전 수취인에게 사전 안내를 권장합니다.,통관
통관 창고에서 보관 비용이 발생하나요?,홍콩은 통상 3~5일 싱가포르는 3일의 Free Time이 있습니다. 이후 일 단위로 중량/CBM 기준 창고료가 발생합니다. 단 통관 완료 후 ICS 센터 보류 비용은 별도 발생하지 않습니다.,창고료
수취 거부나 반송이 발생하면 누가 비용을 부담하나요?,왕복 운임·통관비·창고료·폐기비 등 발생하는 모든 비용은 전액 발송자 부담입니다.,반송
화물이 분실되거나 파손된 경우 어떻게 배상받나요?,배송 완료 후 5 영업일 이내에 사진·영상 증빙을 첨부하여 클레임을 접수해야 합니다. 배상 한도는 신고가액 범위 내에서 최대 USD 100 또는 USD 10/kg 중 낮은 금액입니다. 접수 후 7 영업일 이내 1차 회신하며 어카운트 운임 차감으로 정산됩니다.,배상
클레임 접수 기한이 지나면 배상이 안 되나요?,배송 완료 후 5 영업일을 초과하면 배상이 불가합니다. 중계 구간 10 영업일 이상 미이동 시에는 분실 조사 요청이 가능합니다.,배상
SF 운송장 번호는 어디서 조회하나요?,https://www.sf-international.com/kr/ko/support/querySupport/waybill 에서 운송장 번호(숫자 12~18자리)를 입력하여 조회할 수 있습니다.,배송조회
통관 중 추가 서류 요청이 오면 어떻게 하나요?,ICS에서 발송자에게 안내드립니다. 세금 관련 통보는 수취인에게 직접 전달됩니다(DDP 계약 제외). 반송·폐기 상황은 ICS 또는 발송자에게 통보 후 처리 방향을 결정합니다.,통관
냉동식품이나 냉장 제품을 보낼 수 있나요?,냉동·냉장 식품은 발송 불가합니다.,제한품목
현금이나 귀금속을 보낼 수 있나요?,현금 귀금속 고가 예술품은 발송 진행이 불가합니다.,제한품목
