"섹션","항목","내용"
"배상 범위","직접 손실","분실·파손에 대한 직접 손실만 배상"
"배상 범위","간접 손해","간접손해(이익·영업손실 등) 배상 불가"
"배상 범위","세금","관부가세 등 세금은 배상 범위 제외"
"배상 한도","최대 배상액","USD 100 또는 USD 10/kg 중 낮은 금액 기준"
"배상 한도","신고가액 범위","신고 가액 범위 내에서 배상"
"배상 한도","청구 횟수","운송장당 1회 청구 원칙"
"클레임 기한","배달 완료 후 신고","배달완료 후 5영업일 이내 신고 필수"
"클레임 기한","미이동 분실 조사","중계구간 10영업일 이상 미이동 시 분실 조사 요청 가능"
"클레임 기한","기한 경과","기한 경과 시 배상 불가"
"면책 사항","천재지변","화재, 홍수, 지진, 태풍 등 불가항력에 의한 손실"
"면책 사항","전쟁·파업","전쟁, 내란, 파업으로 인한 손실"
"면책 사항","세관 압수","세관의 압수·몰수 조치로 인한 손실"
"면책 사항","시스템·항공 장애","시스템 오류, 항공 결항·지연으로 인한 손실"
"면책 사항","발송인 허위 신고","내용물 허위 신고, 포장 불량 등 발송인 귀책 사유"
"처리 절차","1차 회신","접수 후 7영업일 이내 1차 회신"
"처리 절차","정산 방법","어카운트 운임 차감 정산"
"처리 절차","필수 증빙","파손 사진·영상 증빙 필수. 내용물 확인 가능 수준의 사진 제출"
"처리 절차","구비 서류 (분실)","운송장 사본 / 내용물 구매 영수증 / 포장 사진 (발송 전) / 클레임 신청서"
"처리 절차","구비 서류 (파손)","운송장 사본 / 내용물·포장 파손 사진·영상 / 내용물 구매 영수증 / 클레임 신청서"
"처리 절차","ICS 역할","ICS에서 SF Express에 클레임 제기. 실 화주는 ICS를 통해 접수"
