"섹션","항목","내용","비고"
"창고료 Free Time","홍콩","통상 3~5일","통관 완료 후 SF 센터 보류 비용 발생 안 함"
"창고료 Free Time","싱가포르","통상 3일","통관 완료 후 SF 센터 보류 비용 발생 안 함"
"창고료 부과","홍콩","Free Time 초과 시 일 단위 과금","중량(kg) 또는 CBM 기준으로 산정"
"창고료 부과","싱가포르","Free Time 초과 시 일 단위 과금","중량(kg) 또는 CBM 기준으로 산정"
"창고료 면제","통관 완료 후","SF 현지 센터에서 통관 완료 이후 보관 시 창고료 미발생","홍콩·싱가포르 공통"
"예외 통보 대상","추가 서류 요청","ICS 안내","세관에서 추가 서류 요구 시 SF → ICS 통보"
"예외 통보 대상","세금 납부 요청","수취인 직접 연락 (DDP 조건 제외)","DDP 조건인 경우 ICS 또는 발송자 부담"
"예외 통보 대상","반송 결정","ICS 또는 발송자","상황에 따라 실 화주에게 직접 통보 가능"
"예외 통보 대상","폐기 결정","ICS 또는 발송자","폐기 전 사전 통보 원칙"
"예외 통보 대상","소명 자료 요청","ICS 안내","품목 설명, 수취인 정보 추가 확인 등"
"통관 절차","일반 수입통관","수취인 명의로 목적국 세관 신고. 세금은 수취인 부담 원칙"
"통관 절차","DDP 조건","발송인이 관세·부가세 포함 부담. 사전 협의 필요"
"통관 절차","통관 지연","세금 미납, 추가 서류 미제출, 수취인 연락불가 시 지연 발생"
