카테고리,항목,내용
절대 금지,마약·향정신성물질,발송 절대 불가. 적발 시 압수 및 법적 처벌
절대 금지,무기·폭발물,"화기, 폭발물, 탄약류 발송 절대 불가"
절대 금지,위조화폐·위조품,"위조 화폐, 위조 브랜드 제품 발송 절대 불가"
절대 금지,외설물,"음란물, 외설 콘텐츠 발송 절대 불가"
절대 금지,CITES 품목,멸종위기 동식물 및 관련 제품(상아 가죽류 등) 발송 절대 불가
조건부 가능,배터리 내장 제품,MSDS(물질안전보건자료) 제출 및 사전 승인 필수. 미제출 시 발송 불가
조건부 가능,리튬배터리 단품,DG(위험물) 포장 기준 준수 + 사전 승인 필수. UN38.3 인증 및 IATA 기준 포장 적용
조건부 가능,향수·알코올 화장품,MSDS 제출 + 사전 승인 필수. 미승인 발송 시 운송 거부 또는 압수 처리
진행 불가,현금·귀금속·고가 예술품,"현금, 귀금속, 고가 예술품은 발송 진행 불가"
진행 불가,냉동·냉장 식품,온도 관리가 필요한 냉동·냉장 식품은 발송 불가
진행 불가,의약품·건강기능식품,일부 의약품 및 건강기능식품은 발송 가능 여부 사전 확인 필요. 반드시 사전 문의
싱가포르 특이사항,껌 (Chewing Gum),싱가포르는 껌 수입·판매 금지 (치료용 니코틴껌 예외). 발송 절대 불가. 적발 시 압수 및 벌금
싱가포르 특이사항,전자담배·가열담배,"IQOS, 전자담배, 베이핑 제품 싱가포르 수입 전면 금지. 적발 시 최대 SGD 10,000 벌금 또는 6개월 징역"
홍콩 특이사항,홍콩 4대 과세 품목,① 주류(알코올 30% 초과 시 100% 세율) ② 담배 ③ 탄화수소오일(연료류) ④ 메탄올. 해당 품목은 세관 신고 필수
