카테고리,항목,내용
창고 Free Time,홍콩 Free Time,통상 3~5일. 이후 일 단위 과금 (중량/CBM 기준 발생)
창고 Free Time,싱가포르 Free Time,통상 3일. 이후 일 단위 과금 (중량/CBM 기준 발생)
창고 Free Time,통관 이후 ICS 센터,통관 완료 후 당사(ICS) 센터 보류 비용 별도 발생하지 않음
홍콩 통관,홍콩 통관 특징,"자유무역항. 대부분 품목 관세 없음. 단, 4대 과세 품목(주류·담배·탄화수소오일·메탄올)은 세금 발생. 통관 비교적 신속"
홍콩 통관,홍콩 개인 면세 한도,"자유무역항으로 별도 일반 면세 한도 없음. 단, 4대 과세 품목은 수량 및 세율 기준 적용"
싱가포르 통관,싱가포르 GST,물품 가격 SGD 400 초과 시 GST 9% 부과 (2024년 기준). 수취인이 납부 주체. 발송 전 수취인에게 사전 안내 권장
싱가포르 통관,싱가포르 GST 관련 CS,싱가포르 도착 후 수취인에게 GST 납부 요청 연락이 올 수 있음. SGD 400 초과 화물의 정상 통관 절차
예외 상황 통보,추가 서류 요청 시,ICS가 발송자에게 안내
예외 상황 통보,세금 발생 시,수취인에게 직접 통보 (DDP 계약 제외). DDP 계약 건은 발송자 부담
예외 상황 통보,반송·폐기 발생 시,ICS 또는 발송자에게 통보 후 처리 방향 결정
인보이스 작성,필수 기재 사항,① 발송인·수취인 전체 정보(이름·주소·연락처) ② 물품명(영문) ③ 수량 ④ 단가·총액(USD 권장) ⑤ 원산지(Made in Korea) ⑥ HS코드(가능한 경우) ⑦ 용도(개인 선물/상업용 등)
인보이스 작성,과소 신고 주의,언더밸류(가격 과소 신고) 적발 시 화물 압류·벌금·반송 처리. 홍콩·싱가포르 모두 실거래가 정확 신고 필수
